region,country,type_of_program,funding_agency,project_title,recipient,subrecipient,description
South Asia,Regional,"Prevention, Protection","USAID, Bureau for Asia and the Near East","India, Nepal, Sri Lanka -- SARI Equity anti-trafficking",UNIFEM,,"Supports rescue and repatriation efforts in India and Nepal; organizing a high level workshop for Nepalese parliamentarians; conducting regional consultations; organizing community based awareness raising campaigns; providing training in trauma counseling; and collecting data on the social, economic and legal dimensions of trafficking within and between targeted South Asian countries."
South Asia,Regional,"Protection, Prevention",Dept. of Labor/Bureau of International Labor Affairs/International Child Labor Program,Combating Child Trafficking for Labor and Sexual Exploitation in Asia,ILO/IPEC,,"This three-year project continues the work started under a first phase in Bangladesh, Nepal and Sri Lanka, with the addition of Indonesia, Thailand and Pakistan. The project will address national and regional aspects of trafficking, including improving the knowledge base on cross-border trafficking, technical support in the area of research and rehabilitation models, policy development and capacity building to strengthen national coordination mechanisms and legal frameworks. Prevention interventions will be implemented in high-risk areas to reduce the vulnerability of communities, families and their children to trafficking, and child victims of trafficking will be intercepted or rescued and provided rehabilitation services and educational opportunities."
South Asia,Afghanistan,"Prevention, Protection, Prosecution","Dept. of State, G/TIP",Research on Trafficking in Afghan Women and Children in Afghanistan and Neighboring Countries,IOM,,"IOM will assess the current situation regarding trafficking of Afghan women and children internally and to other countries. This study will provide information on the profile of victims and reflect the current understanding of the problem within existing governmental structures, NGOs and IOs assisting Afghan women and children. The goal of this project is to provide and identify vulnerable groups, assess the capacities of existing NGOs, and develop comprehensive solutions."
South Asia,Bangladesh,Prosecution,"Dept. of State, G/TIP",Capacity Building for Law Enforcement Officials,IOM,,This one-year project is an extension of an ongoing project aimed at improving prevention of trafficking and protection of victims through training and awareness training of migration and law enforcement officials.
South Asia,Bangladesh,Prevention,"Dept. of State, SA",Anti-trafficking Communication Intervention in five high-risk Trafficking-prone areas of Bangladesh,IOM,,"This two-year project involves two components – supporting a national anti-trafficking mass media campaign and assisting five at-risk areas in Bangladesh. In the at-risk areas, local NGOs will receive tools and techniques on how to raise awareness about trafficking and conduct community meetings. The goal of this project is to reduce the number of women and children trafficked within Bangladesh and across its borders."
South Asia,Bangladesh,"Prevention, Protection","USAID, Bureau for Asia and the Near East",Anti-trafficking,Bangladesh National Women Lawyers' Association (BNWLA); Action Against Trafficking and Child Exploitation,,"This multi-faceted program includes mapping exercises to track trafficking in at-risk areas; creation of a victim database; establishment of a resource center to disseminate data; legal, social integration and repatriation help to victims; and, culturally sensitive community public awareness campaigns."
South Asia,India,"Protection, Prosecution","Dept. of State, G/TIP",“Nyay” - Justice,Sanlaap (Calcutta) through UNODC,,"The project includes providing shelter, counseling, and legal support to trafficking victims through the establishment of three crisis centers in Calcutta and South 24 Parganas. Sanlaap will also provide training on trafficking and the relevant legislation at the panchayat (local council) level. Sanlaap will also hold a workshop on trafficking and rape kit usage for medical professionals from the State Health Department, the public prosecutors office, lawyers, forensic experts, magistrates, judges and policy makers."
South Asia,India,"Prevention, Protection, and Prosecution","Dept. of State, G/TIP",Improving Interagency Response and NGO Coordination to TIP in the Northeastern States of India,Impulse NGO (Meghalaya) through UNODC,,"This one-year project will focus on creating a solid interagency approach in each of the Northeastern State districts to combat trafficking. The Impulse NGO Network will improve awareness of trafficking among government officials, law enforcement, and the public. It will conduct interagency workshops to increase the capacity of law enforcement authorities (Home Guards and Police) to combat trafficking – including awareness, information about trafficking, and increasing coordination with local NGOs and community groups. Impulse NGO Network will also provide sensitization training to the judiciary and prosecutors about trafficking, existing legislation, how to question victims, and the needs of victims."
South Asia,India,Prosecution,"Dept. of State, G/TIP",Legal Training for Police and Members of the Judiciary,Human Rights and Law Network (New Delhi) through UNODC,,"This project brings police, the judiciary, and NGOs together to facilitate cooperation and coordination on trafficking in persons cases. The training provided to police and the judiciary during this one-year project aims to: increase law enforcement understanding of existing anti-trafficking laws, improve law enforcement/NGO coordination on rescue and rehabilitation of trafficking victims, enhance adjudication of trafficking cases, and increase access to legal assistance for women and children affected by trafficking."
South Asia,India,"Prevention, Protection, and Prosecution","Dept. of State, G/TIP",Action Program on Trafficking and Commercial Sexual Exploitation of Children,Prayas (New Delhi) through UNODC,,"This project will focus on the rescue and rehabilitation of trafficked children and expand Prayas’ shelter facilities into the states of Gujarat and Bihar. The objectives for this project include: facilitating a comprehensive rehabilitation program for child victims of trafficking and sexual exploitation (medical, psychological, legal advocacy); reducing the number of children from vulnerable communities being trafficked and subjected to trafficking and sexual abuse; rescuing young girls and minors from brothels; and rehabilitating and mainstreaming children from vulnerable groups through education and job skills training."
South Asia,India,"Prevention, Protection, and Prosecution","Dept. of State, G/TIP",Building Support Structure for Victims of Trafficking at the Indo-Nepal Cross-border Communities,Bhoruka Public Welfare Trust (Calcutta) through UNODC,,"This project will provide physical and psychological support in shelters for rescued trafficking victims at the cross-border sites of Raxaul and Panitanki. In addition, counseling and anti-trafficking information will be disseminated at three cross-border points to anyone crossing in or out of the country. The shelters and counseling centers will be linked with an ongoing community-based anti-trafficking program that also trained anti-trafficking police units. The anti-trafficking police units will work with the local community-based centers to refer victims and gather information on traffickers."
South Asia,India,Protection and Prosecution,"Dept. of State, G/TIP",Support for Victims of Trafficking,"Catholic Relief Services and Prajwala (Hyderabad, Andhra Pradesh) through UNODC",,"Catholic Relief Services and Prajwala will establish a transit home for rescued trafficking victims and a home for rescued children. The transit home will provide trafficking victims from Andhra Pradesh counseling, health care, and reintegration assistance. The home for rescued children will assist children rescued from brothels and includes counseling and schooling. Both of these projects will be linked with projects in other states in India that work with police and other NGOs to rescue victims and go after traffickers."
South Asia,India,"Prevention, Protection","Dept. of State, G/TIP",Care and Support for at-risk Women Vulnerable to Sexual Abuse and Trafficking in Five Districts of Uttar Pradesh,"BETI (Better Education Through Innovation) Foundation (Lucknow, Uttar Pradesh) through UNODC",,"This project will focus its efforts on the most trafficking-prone areas of Uttar Pradesh. Activities that BETI will undertake include: reaching out to over 11,000 at-risk girls, providing counseling to trafficking victims, setting up information booths, raising awareness of trafficking among people working in the transportation industry – i.e. truck drivers, bus conductors, border police, and railroad employees. BETI will link with already established help lines as well as with other government and non-governmental organizations in India, Nepal, and Bangladesh."
South Asia,India,"Protection, Prosecution","Dept. of State, G/TIP",Short Stay Home along Indo-Nepal border of Uttar Pradesh state,Manav Seva Sansthan “SEVA” (Uttar Pradesh) through UNODC,,"SEVA will open a short-stay home to provide shelter, medical assistance and counseling (legal and psychological) to victims rescued while being trafficked across the Indo-Nepal border. Police or NGOs will refer rescued women and children to the short-stay home with the ultimate goal being safe repatriation to the country of origin."
South Asia,India,"Prevention, Protection","Dept. of State, PRM",Economic Rehabilitation of Trafficked Women in High Supply States of India,IOM,,"The IOM project will assist in the rehabilitation of trafficked victims through the engagement of multi-sectoral partners, including NGOs, the corporate sector and the Government of India, to establish small franchised businesses for dairy products, staffed with newly trained returned victims, and financed through a rolling micro-credit system for eventual self-sustainability of the project."
South Asia,India,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,2 Individuals,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
South Asia,Nepal,Prosecution,"Dept. of State, G/TIP",Better Application and Enforcement of Anti-trafficking laws in Nepal,NGO Consortium through UNICEF,,"This eighteen-month project will increase understanding of Nepal’s anti-trafficking legislation among law enforcement agencies, strengthen police capacity to handle trafficking cases sensitively and efficiently, and improve the functioning of district courts to better handle trafficking cases. This project will focus on the development of training materials, providing training to law enforcement agency personnel in 26 districts, the provision of computers to five regional police centers, and technical assistance to improve court procedures to protect victims."
South Asia,Nepal,Prosecution,"Dept. of State, G/TIP",Women’s Security Law Library and Center,Daywalka Foundation (Kathmandu),,"Assistance will be used to establish a law library, which will serve as the information center for anti-trafficking efforts and also as a magnate for the training of legal professionals in Kathmandu. The library will contain information on statutory law, common law, cases under investigation, and a computer a hardcopy database. The library will also serve as a legal training center, which will provide training and resources to prosecutors, law students, and police."
South Asia,Nepal,"Prevention, Protection","Dept. of State, SA",Improving Gainful Employment Opportunities for Girls at Risk of Trafficking and Rescued Trafficking Victims,Nepali NGO Consortium through UNICEF,,"This project will identify high-risk target groups and provide relevant job skills to enable them to pursue meaningful employment opportunities. Organizations providing vocational and other employment training skills will help the target group obtain information as well as job placement and micro-enterprise funding support. In addition, the Government of Nepal will include high-risk groups in government training programs and provide job opportunities."
South Asia,Nepal,"Prevention, Protection, Prosecution","Dept. of State, SA",Improving Efforts to Combat Trafficking at the Local Level,Daywalka Foundation,,"This project will develop a network of Village Development Committees that will liaise with the centralized Kathmandu law library project. Together with indigenous NGOs, the Daywalka Foundation will build the capacity of local village criminal justice mechanisms to combat trafficking through training and increase awareness of victim needs."
South Asia,Nepal,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,Individual,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
South Asia,Nepal,"Prevention, Protection","USAID, Bureau for Asia and the Near East",Nepal -- anti-trafficking,"The Asia Foundation, World Education, Center for Development and Population Activities",,"Strengthens prevention, rehabilitation and reintegration services, and the capacity of government and NGOs to address trafficking. Established a documentation and information center within the Ministry of Women, Children, and Social Welfare (MWCSW); created a compendium of anti-trafficking materials."
South Asia,Nepal,Prevention,USAID/ANE,Girls Access to Education (GATE),World Education,,"The goal of the GATE program is to improve the health knowledge and behavior of adolescent girls, and prepare them for the challenges of womanhood. One of the main objectives of the program is to raise individual and community awareness about girl trafficking, child labor and various forms of exploitation, HIV/AIDS and other significant risks. The target audiences of the GATE program are 10 to 14 year old girls who are out of school and illiterate, and girls who have dropped out of the school and haven't completed the 3rd grade of formal schooling. The component on trafficking provides information about the methods used by traffickers and urges caution."
Eurasia,Belarus,Prevention,"Dept. of State, PRM",Combating Trafficking in Women: Belarus,IOM,,"The project will focus on prevention and awareness-raising activities, while strengthening relations with civil society."
Eurasia,Belarus,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,Individual,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
Eurasia,Kazakhstan,Prevention,"USAID, Bureau for Europe and Eurasia",Training and Networking for Journalists on Anti-trafficking Issues,IOM,,The activity provides media training to (1) create an informal network of journalists specializing in and reporting on trafficking issues in the regions of Kazakhstan; and (2) produce public service announcements highlighting the ills of trafficking and information about IOM’s program.
Eurasia,Kyrgyzstan,Prevention,"USAID, Bureau for Europe and Eurasia",Anti-trafficking Public Information Campaign,IOM,,"Public information campaign to increase understanding of the dangers and consequences of trafficking among the Kyrgyz young unemployed population and relevant authorities, in an effort to discourage and prevent trafficking in human beings in, from, and through Kyrgyzstan."
Eurasia,Moldova,"Prevention, Protection","Dept. of State, PRM",Combating Trafficking in Women: Moldova,IOM,,"Building on last year’s capacity-building program and information campaign, the project will support a shelter to provide protection and reintegration assistance to returned victims."
Eurasia,Moldova,Rehabilitation/prevention,"Dept. of State, ECA",Training and Parenting Education for Returned Women who are Mothers,CONNECT,,The goal of this 18-month exchange and training program is to assist the reentry process of Moldovan women who have been trafficked and return to and/or with children. The project will focus on developing job training and parenting services for approximately 100 women in mostly rural communities. The project will also support an 11-day training program in Minnesota for 10 Moldovan support workers and job trainers.
Eurasia,Russia,"Prevention, Prosecution, Protection","Dept. of State, INL",Legislative Assistance Project,Embassy,,"Project offers support conducted by Department of Justice OPDAT to the DUMA, legislative working groups, law enforcement and NGOs involved in drafting new anti-TIP legislation to comply with the standards set in the UN convention on Transnational Organized Crime and its Protocol on Trafficking in Persons, Especially Women and Children to which both parties are signatories."
Eurasia,Russia,"Protection, Prosecution","Dept. of State, INL",Anti-Trafficking Task Force,Embassy,,"Establish US/Russia task force to investigate trafficking in women and children and promote the development of Russian task forces directed at crimes involving violence against women and children. Project will also provide equipment, materials, technical experts and support services."
Eurasia,Russia,Protection,"Dept. of State, G/TIP",Moscow TIP Victims Assistance Shelter,Miramed Institute through IOM,,This award will support the Angel Coalition's Moscow Victims Assistance Center supported by Miramed Institute to assist returning victims coming through Moscow’s International Airport. These funds will also provide seed grants for regional safe houses and develop an assistance protocol and resource guide for TIP victims.
Eurasia,Russia,"Prevention, Protection","Dept. of State, ECA",Prevention of Trafficking of Women and Girls (FY01),"International Research & Exchanges Board (Washington, DC)",,"The international research and exchanges board (IREX), in partnership with the Russian association of crisis centers, has implemented with two women's crisis centers, the Saratov regional crisis center and the Barnaul women's alliance, public awareness campaigns about the problem of human trafficking. The program also introduced crisis intervention services for victims of trafficking at the two centers. The program included a Moscow-based training seminar for the staff of the two crisis centers, an anti-trafficking media campaign in both regions, and train-the-trainers seminars for organizations and individuals who were involved in anti-trafficking media campaigns."
Eurasia,Russia,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,Individual,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
Eurasia,Russia,Prevention,"USAID, Bureau for Europe and Eurasia",Democracy Gender Program – Trafficking Prevention Project in the Russian Far East and Siberia,Winrock International,,"This activity is part of the three-year Democracy Gender Program and provides support to NGOs in the Russian Far East and Siberia to address the trafficking problem through short-term training programs in job skills and small business development, awareness raising activities, targeted information dissemination, and individual services and consultations for women at risk. The activity also includes conducting a baseline research to study the demographics of women at risk and applying research results for designing future trafficking prevention programs."
Eurasia,Russia,Prevention,"USAID, Bureau for Europe and Eurasia",Democracy Gender Program – Trafficking Prevention and Information Dissemination (TPID),International Research and Exchanges Board (IREX),,"This activity is part of the three-year Democracy Gender Program and is funded to (1) enhance economic empowerment for women at risk, focusing on job skills training and small business development training; (2) create awareness about trafficking among the general population through public education campaigns and targeted dissemination of information materials; (3) increase the capacity of the women’s crisis centers in Moscow, Petrozavodsk, Krasnodar, and Ekaterinburg to offer individual services and consultations to women at risk, and to conduct awareness raising activities."
Eurasia,Ukraine,Protection,"Dept. of State, PRM",Combating Trafficking in Women: Ukraine,IOM,,"The project is designed to strengthen the capability of relevant government authorities and a Ukrainian NGO network to more effectively assist victims of trafficking. A shelter provides protection and reintegration assistance to returned victims, including psychiatric and psychological counseling, as well as medical treatment."
Eurasia,Ukraine,Prevention,"USAID, Bureau for Europe and Eurasia",Trafficking Prevention Center Program,Winrock International,,"FY2002 funds for anti-trafficking will go to completing the funding cycle for the Trafficking Prevention Center Program, implemented by Winrock International."
Eurasia,Ukraine,Prevention,"USAID, Bureau for Europe and Eurasia",Anti-trafficking Youth Leadership Course,Academy for Educational Development (AED),,"As part of the AED/Participant Training Course, USAID will fund an anti-trafficking youth leadership course to provide training to potential trafficking victims."
Eurasia,Ukraine,Prevention,"USAID, Bureau for Europe and Eurasia","Anti-trafficking Training Course, “Innovative Mechanisms to Combat Trafficking”",AED,,"Through the AED/Participant Training Course, USAID will fund a transnational anti-trafficking training course."
Europe,Regional,"Prevention, Protection","Dept. of State, EUR (SEED)",Stability Pact Anti-Trafficking in Persons Program,Stability Pact,,"To further strengthen regional cooperation and concrete joint action among the various anti-trafficking actors, (governments, IOs and NGOs) in the Balkan region and beyond."
Europe,Regional,"Prosecution, Protection","Dept. of State, EUR (SEED)",Operation Mirage,Southeast European Cooperative Initiative (SECI): Human Trafficking Task Force,,To provide an effective and efficient regional law enforcement response to the illegal trafficking and exploitation of human beings and reduce those organized crime trafficking operations in the region.
Europe,Regional,"Prevention, Protection","Dept. of State, EUR","Regional TIP Monitoring (Lithuania, Estonia and Russia)","Various NGOs in Lithuania, Estonia and Russia",,"Awareness campaign for at-risk youth in Vilnius, Tallin and St. Petersburg, monitoring trafficking in persons cases and providing assistance."
Europe,Regional,"Prevention, Protection, Prosecution","Dept. of State, G/TIP",Trafficking in Women and Girls to the Balkans: The Role of International Peacekeeping Operations,Center for Strategic and International Studies,,"CSIS will conduct research, including fieldwork, and formulate specific policy recommendations."
Europe,Regional,"Prevention, Prosecution","Dept. of State, G/TIP",Building Bilateral Cooperation on TIP Between Poland and Ukraine,Government of Poland,,This project carried out by the Department of Justice OPDAT will set up a bilateral meeting; offer awareness training provided by DOJ; train prosecutors from Ukrainian and Polish national offices with focus on sharing information and investigative techniques; offer awareness training for commanders of Polish and Ukrainian border guards; and host a follow-up meeting at the one-year mark to assess progress.
Europe,Regional,Prevention,"Dept. of State, ECA",Media Training Program on Trafficking in Women and Girls in Southeastern Europe,International Center for Journalists,,"This project will support a media-training program designed to help combat trafficking in women and girls in Southeastern Europe (SEE). The program includes four, four-day workshops in SEE for media representatives and NGOs on trafficking issues; on-site media consultations after each workshop in each of the nine countries and regions represented; a trainer-training program that will encourage widespread information sharing; and the development of a source list of organizations and experts on trafficking throughout SEE for journalists to use for their reporting. Albania, Bosnia-Herzegovina, Bulgaria, Croatia, Kosovo, Macedonia, Montenegro, Romania, Serbia"
Europe,Regional,Prevention,"Dept. of State, ECA",Professional Development Program for Journalists from Southeastern Europe on the Issue of Trafficking in Persons,WBUR/Boston University,,"This project will support a media-training program designed to help combat trafficking in women and girls in Southeastern Europe (SEE). Project activities include a month-long U.S. program in Boston and Washington, DC, for 18 participants from SEE and an in-country workshop in Belgrade for the original 18 participants as well representatives from NGOs working on anti-trafficking issues. Albania, Bosnia-Herzegovina, Bulgaria, Croatia, Kosovo, Macedonia, Montenegro, Romania, Serbia"
Europe,Albania,"Prevention, Protection",Dept. of State EUR,Democracy Commission Small Grant Programs,"NGOs: Children’s Rights Center of Albania, Useful to Albania Women, Women’s Advocacy Center (Tirana), Council “Social Services Associations” (Durres), Women’s Forum of Elbasan, Women 2000 (Tirana), Counseling Center for Women and Girls (Pogradec), Women in Development (Shkodra)",,"The eight small grant projects to NGOs focused primarily on conducting public awareness campaigns through local television stations, monitoring centers, or seminars for local officials and police agencies. Several of the campaigns covered trafficking in both women and children."
Europe,Albania,"Prosecution, Prevention","Dept. of State, INL",Border Security Project,Government of Albania,,"Six advisors from the Department of Justice will be participate in training officials and monitoring port-of-entry operations at Rinas Airport in Tirana and the seaports of Durres and Vlora for one year. The USG is collaborating with the EU, OSCE, Customs Assistance Mission, and the governments of Italy, Turkey, and Greece."
Europe,Albania,Protection,"USAID, Bureau for Europe and Eurasia",Reintegration Assistance to Albanian Victims of Trafficking through Capacity Building of a National Reintegration Support Network,IOM,,"Establishes a support network catering to the diverse needs of Albanian trafficking victims and develops an international referral mechanism harnessing IOM’s regional and global presence. Once the network is functional the project will provide 18 months of delivering services directly to the victims, including a shelter in Tirana."
Europe,Albania,Protection,"USAID, Bureau for Europe and Eurasia",Shelter for Trafficked and at Risk Girls and Women,OSCE/Save the Children/Hearth,,"Establishes a comfortable, safe environment where trafficked girls and women can receive first line medical assistance, counseling and preparation for reintegration and networks with government and non-government structures in order to reduce the number of girls and women trafficked from and through Albania."
Europe,Albania,Protection,"USAID, Bureau for Europe and Eurasia",Shelter for Abused and Trafficked Women,OSCE/Reflexione,,"Facilitates operations of an existing shelter for abused and trafficked women in Tirana on an interim basis while future long-term support is obtained from other donor sources. The shelter provides 24-hour service and psychological support for women, girls and their children."
Europe,Albania,Prevention,"USAID, Bureau for Europe and Eurasia",Awareness Campaign of the Risk of Women Trafficking for Prostitution,Hearth,,"Conducts a sensitizing campaign in the rural areas of Vlora district. It will be extended in 4 villages. These areas are the problematic regions for trafficking in women. The project targets high school youth, raising their awareness of the dangers of trafficking in persons, drugs, prostitution, violence and crime. This campaign also consists of radio – TV debates and workshops on community issues, with the participation of community, local government and police forces."
Europe,Albania,Protection,"USAID, Bureau for Europe and Eurasia",Counseling Center for Abused Women and Girls in the Districts of Berat and Shkodra,Counseling Center for Abused Women and Girls in the districts of Berat and Shkodra,,"The project goal is to build sustainable structures in the districts of Berat and Shkodra that will serve women and girls who are victims of gender violence and trafficking. The centers will have help lines, face to face counseling, and will provide multidisciplinary services for abused and trafficked women."
Europe,Bosnia,Prevention,"Dept. of State, ECA",Trafficking in Women and Children Countermeasures and Issues,13 Individuals,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
Europe,Bosnia,Protection,"USAID, Bureau for Europe and Eurasia",Nationwide Safe Houses for Trafficked Women,IOM,,The activity will contribute to a nationwide network of safe houses to allow potentially trafficked victims to be interviewed and assessed in secure places. The project will support the ongoing operation of two shelters in Sarajevo for trafficked girls and women.
Europe,Bulgaria,Prevention,Dept. of State EUR,Democracy Commission small Grant Programs,The Animus Plovdiv Foundation,,Assistance provided funds for a nationwide educational campaign that trained teachers and community workers on how to recognize cases of trafficking and potential victims. The project provided secondary school at risk students with information geared towards reducing the number of victims.
Europe,Bulgaria,"Prevention, Protection","Dept. of State, PRM",A Partnership Network: Assistance to Victims of Trafficking,IOM,,"This on-going project is providing capacity-building activities to develop an NGO anti-trafficking network throughout the country. The program of activities also includes the establishment of small safe houses, and an information campaign targeting vulnerable children."
Europe,Bulgaria,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,Individual,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
Europe,Croatia,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,2 Individuals,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
Europe,Croatia,Prevention,"USAID, Bureau for Europe and Eurasia",Victims Assistance and Protection Program for Women Rescued from Trafficking”,International Catholic Migration Commission (ICMC) and the Center for Women Rosa,,"The overall goal of this project is to build the capacity of local NGOs and governmental institutions in Croatia to successfully implement an information and awareness campaign and to supplement that campaign with a quarterly newsletter. ICMC and the Center will coordinate to establish a network of international and local NGOs, and governmental institutions throughout Croatia that are currently engaged in protection or have interest in the activities of the National Action Plan. The NGOs and other interested organizations will be trained and guided to execute outreach awareness and educational campaigns."
Europe,Croatia,Prevention,"USAID, Bureau for Europe and Eurasia",Prevention of Trafficking in Women and Children in Croatia,IOM,,"This project is aimed at preventing trafficking in persons for the purposes of sexual exploitation in Croatia. Preventive activities are the results of a year-long planning process initiated through the IOM-led National Working Group on Prevention, and are a crucial first response component of Croatia’s National Action Plan(NAP) on trafficking. The basic aim of the project is to educate and inform the public and government officials that trafficked persons are victims and that trafficking in human beings constitutes a gross violation of human rights. By implementing this prevention project in conjunction with governmental agencies and local non-governmental partners, IOM proposes to bring to public light the realities of trafficking in women and children, and advocate for an urgent and appropriate response."
Europe,Czech Repbulic,Prevention,Dept. of State EUR,Democracy Commission Small Grants Program,La Strada,,"Assistance was provided to support the development of a trafficking resource database, and to provide training for law enforcement professionals in its use. The database will allow La Strada to consolidate and process the numerous requests for information received from journalists, researchers, and legal experts."
Europe,Czech Repbulic,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,Individual,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
Europe,Estonia,Prevention,Dept. of State EUR,Democracy Commission Small Grants Program,Legal Information Center for Human Rights,,"Assistance provided support for training seminars on prevention of trafficking, a counseling hotline, and legal counseling for potential victims."
Europe,Estonia,Prevention,Dept. of State EUR (NEI-SEED),Project for the Prevention of Adolescent Trafficking,International Organization for Adolescents (IOFA),,"Assistance provided to prevent the trafficking of adolescents in Estonia by raising awareness and educating youth, building the capacity of local youth serving NGOs, and increasing the cooperation between NGOs and the Estonian government."
Europe,Greece,Prevention,"Dept. of State, ECA",Trafficking in Persons,3 Individuals,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
Europe,Iceland,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,Individual,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
Europe,Italy,Prevention,"Dept. of State, ECA",Trafficking in People,2 Individuals,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
Europe,Latvia,Prevention; Prosecution; Protection,"Dept. of State, EUR","Prevention, Investigation and Repatriation of Victims of Human Trafficking",International Organization for Adolescents (IOFA),,"To increase the effectiveness of Latvian NGO and law enforcement sectors in combating human trafficking through coordinated prevention and investigation tools and techniques, and through collaborative efforts to repatriate victims of trafficking."
Europe,Lithuania,Protection,"Dept. of State, EUR",Support for Trafficking Victims,ProSentret and Missing Persons Center,,To help renovate both the Missing Persons’ Families Support Center and the Lithuanian AIDS Center facilities and provide shelter and services to battered women and trafficking victims.
Europe,Lithuania,Prevention,"Dept. of State, EUR",Anti-Trafficking International Visitors Program,AmEmbassy Vilnius,,To provide exchanges of experiences and best practices of senior anti-trafficking personnel in the Baltic and Nordic states.
Europe,Macedonia (Fyrom),Prevention,Dept. of State EUR,Democracy Commission Small Grants Program,Women’s Association “Prestige” (Bitola),,"Assistance supported secondary school workshops on themes related to trafficking, an evaluative survey, and an advising center for potential victims and their parents."
Europe,Macedonia (Fyrom),"Prevention, Protection, Prosecution","Dept. of State, INL",Comprehensive anti-trafficking project,IOM,,"the Department of Justice in conjunction with IOM will present four skill-building workshops for police, prosecutors, judges, and NGOs. The goal will be the development of written investigative protocols on human trafficking."
Europe,Macedonia (Fyrom),Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,Individual,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
