region,country,type_of_program,funding_agency,recipient,project_title,description,amount
East Asia And Pacific Islands,Thailand (Tier 2),"Prevention, Protection",USDOS/EAP,The Asia Foundation,Creation of Multi-disciplinary Anti-TIP Teams,"This project replicates the successful “Chiang Mai” model multi-disciplinary protection/prosecution teams funded in FY ’02 by EAP. These teams enable social workers, prosecutors, lawyers, legal aid volunteers, medical practitioners, and NGOs to coordinate the receipt of incident reports and provide comprehensive assistance following appropriate legal and welfare channels.","$233,155"
East Asia And Pacific Islands,Thailand (Tier 2),"Prevention, Protection, and Prosecution",USDOS/G/TIP,The Asia Foundation (TAF),Comprehensive Thai NGO Program for Combating Trafficking in Persons in Thailand,"This ongoing project was funded by EAP in past years and will be partially funded by EAP again this year. TAF will replicate the Chiang Mai model of multi-disciplinary teams working in trafficking centers comprised of social workers, prosecutors, lawyers, legal aid volunteers, investigative police, medical practitioners, and NGOs to provide assistance to victims and work toward prosecution of traffickers. These models will be reproduced in ten locations throughout the country over the next several years. This project implemented through a grant from USAID.","$345,265 to be distributed among the following Thai NGOs for one year: Pavena Foundation $77,700; Harbor House Foundation $16,950; New Life Center $27,650; Promotion of Women’s Status Club $18,940; Center for Protection of Children’s Rights $44,500; Rahab Ministries $25,775; Development and Education Program for Daughters $118,350; Volunteer Group for Child Development $15,400"
East Asia And Pacific Islands,Vietnam (Tier 2),"Prevention, Protection and Prosecution",USDOS/EAP,The Asia Foundation,Improve Counter Trafficking Efforts in Vietnam,"Program activities include community-based studies for new project areas, prevention education, establishment of community watch groups, micro-enterprise loans, savings mobilization, vocational training, and repatriation of victims from China and Cambodia.","$238,603"
South Asia,Afghanistan (Not on Report),"Prevention, Protection, and Prosecution",USDOS/G/TIP,IOM,Capacity Building in Counter-Trafficking in Afghanistan,"IOM aims to increase the capacity of the Transitional Islamic State of Afghanistan to effectively address TIP in Afghanistan through technical assistance and awareness-raising activities. This project will raise awareness within the government, national NGOs, and women’s groups through the establishment of working groups between government ministries, the UN, and community groups to address prevention, protection, and prosecution. IOM will provide guidance and technical assistance to the Ministry of Justice and Judicial Commission on international and domestic legal instruments on trafficking. In addition, IOM will utilize its global experience in combating trafficking to promote the importance of regional cooperation on trafficking and irregular migration.","$330,568"
South Asia,Bangladesh (Tier 2),"Protection, Prosecution",USDOS/G/TIP,DOJ/OPDAT,Court Management Assistance on Child Trafficking for Bangladesh,"DOJ/OPDAT will assist the government of Bangladesh develop realistic court budgets, set court priorities, instruct judicial officials to better handle child trafficking cases, process cases more efficiently, train officials on professional responsibility and ethics, and develop capacity for formal and informal international legal assistance. The target audience for this training is criminal and juvenile court judges and court personnel.","$65,676.50"
South Asia,Bangladesh (Tier 2),"Prevention, Protection, and Prosecution","USAID, Bureau for Asia and the Near East","Action Against Trafficking and Sexual Exploitation of Children, AED, IOM",Bangladesh: Anti-trafficking,Continued awareness raising through a multi-media approach; street dramas; school and border campaigns; film festivals; rallies; road march; technical assistance; small grants; establishment of watchdog sites to monitor cases; repatriation of victims internally and to other countries; legal assistance to victims; assistance in prosecution of traffickers and rehabilitation (reintegration) of victims. Trafficking in persons training for Imams in Cox's Bazaar.,"$95,276"
South Asia,India (Tier 2),"Prosecution, Prevention, and Protection",USDOS/G/TIP,"Impulse NGO Network (Shillong, Meghalaya State) through UNODC",Technical Support Training and Manual Development in Northeast India,"This project will: Develop training guides to improve police investigation techniques and interviewing of child victims; create a data bank as a source of information for state governments and NGOs; and conduct law enforcement training. This training will be divided into three phases targeting lower and middle-ranked police, judicial officials and Border Security Force officers as well as government physicians and employees in the Departments of Social Welfare and Labor. The project will also analyze the legal framework and status of child trafficking in Northeast India and Meghalaya to develop a suitable strategy. This project will use Meghalaya as a pilot and then link the seven states of Northeast India by organizing state-level consultations for the police, judiciary, and government officials to enable them to sustain the project with training in future years.","$19,000"
South Asia,India (Tier 2),"Prevention, Protection",USDOS/G/TIP,Impulse Embassy NAS,"Fighting Trafficking through Uniting Business, NGOs and the Government: Workshops for saving tomorrow’s children today.","This project will bring together representatives from business with anti-trafficking NGOs, government representatives, and international organizations in a series of workshops in New Delhi, Calcutta and Chennai. The workshops will create an anti-trafficking alliance that will foster corporate responsibility, capacity building, public awareness, and increased economic opportunity for victims or at-risk populations.","$15,000"
South Asia,India (Tier 2),"Prosecution, Prevention, and Protection",USDOS/G/TIP,Human Rights Law Network/Socio-Legal Information Center through UNODC,"Legal Initiatives to Deter Commercial Sexual Exploitation and Trafficking (New Delhi, Mumbai and 4 other centers)",The project’s goals are to prevent trafficking; to prosecute traffickers and brothel owners; to defend the victims; to improve the quality and quantity of rescues; and to improve rehabilitation efforts.,"$75,000"
South Asia,India (Tier 2),"Prevention, Protection, and Prosecution",USDOS/G/TIP,Sanlaap (Rural West Bengal) through UNODC,Trafficking Prevention/Training in Rural Areas,Sanlaap will survey child marriage patterns in rural West Bengal areas that are source areas for child trafficking/sexual exploitation; develop projects that deter child marriage; increase networking on prevention of child trafficking between NGOs and government and law enforcement at both the rural and urban level; provide police training divisions with comprehensive reference material on child trafficking/sexual exploitation; and provide grass-roots government officials with the training necessary to recognize and fight trafficking in children.,"$24,000"
South Asia,India (Tier 2),"Prevention, Protection, and Prosecution",USDOS/G/TIP,"Prayas (New Delhi, Gujarat, Bihar)",Action Program on Trafficking and Commercial Sexual Exploitation of Children through UNODC,"This project will focus on marginalized communities, including tribal areas of North Bihar, the Kutch and Bhuj regions of Gujarat and slum clusters of Delhi. Prayas will provide trafficked/sexually-exploited child victims with a stable, supportive environment in which to recover and be rehabilitated and also assist law enforcement increase the arrests/convictions of traffickers and others who exploit children sexually. This project has three phases. Phase one includes establishing a database with profiles of traffickers, procurers, transition agents, pimps, and brothel owners. As a tool to address the demand side of the problem, Prayas will also develop a database on clients and other factors related to demand for child victims. Prayas will network with the police, civil society, government agencies, and NGOs in rescue, repatriation, rehabilitation, or referral. Phase two includes providing training and sensitization at the community level, with police and judicial officials. In phase three, Prayas will compile data from the other phases and develop future action plans. In addition Prayas will provide shelter homes and services to girls in three source locations in Bihar, Gujarat, and Delhi.","$55,000"
South Asia,India (Tier 2),Project management,USDOS/G/TIP,UNODC,Overhead and Project Management for UNODC-India Projects,"These funds will be used for project support costs, a project evaluation consultant, as well as costs towards project officers at the national and headquarters level for 4 NGO projects listed above in India (Impulse NGO Network, Social-Legal Information Center, Sanlaap, and Prayas).","$41,135"
South Asia,India (Tier 2),"Prevention, Protection, and Prosecution",USDOS/G/TIP,"STOP (Stop Trafficking, Oppression, Prostitution of Children and Women)– New Delhi through USAID","STOP Rescue, Reintegration, and Rehabilitation Project","This project has three components. 1) Rescue, Repatriation, and Prosecution - the rescue of women and children from red light and high-risk areas in New Delhi, transit areas on the Nepal/Bangladesh border and Indian source states, including the states of Bihar, Uttar Pradesh and West Bengal. STOP will also assist in legal prosecution and work closely with law enforcement agencies and the judiciary to prosecute pimps, traffickers, and brothel owners. 2) Advocacy and Networking – raising public awareness about trafficking in source areas (West Bengal, Bihar, Uttar Pradesh, and Rajastahan) through street plays, puppet shows, folk songs, tapes and poster campaigns. 3) Training – Seminars for law enforcement, government officials, and NGOs on rescue, repatriation, data analysis, case development and prosecution.","$80,000"
South Asia,India (Tier 2),"Prosecution, Prevention, and Protection",USDOS/G/TIP,Organization for Social Research/Gender Training Institute through USAID,Integrating Gender for Effective Policing: The South Asian Experience,"This project will produce state-specific gender training needs assessments in Madhya Pradesh, Rajastahan and Jharkand, three states that are major sending and transit sites for trafficking in women and children. These states also have some of the highest indexes of crimes of violence against women and children. GTI will work with the police and its training teams to develop the training-of-trainers program design and then implement these TOTs with follow-up training after four months. In addition, GTI will organize an exchange of regional trainers involved in police training in Bangladesh, Nepal, India, and Sri Lanka to facilitate better cooperation and coordination. This project will promote networking between police academies, local NGOs and experts in India and South Asia.","$17,000"
South Asia,India (Tier 2),"Prevention, Protection, and Prosecution",USDOS/G/TIP,Prerana (Mumbai) through USAID.,Consolidation of the Anti-trafficking Center of Prerana,"This project will provide technical upgrades and equipment to the ATC as well as more manpower. In addition to the technical upgrades, the project will expand the ATC’s sensitization and training program and advocacy efforts for improved enforcement of anti-trafficking laws. Prerana provides anti-trafficking training to government officials (local, state, and central government), law enforcement, prosecutors, and judges.","$75,000"
South Asia,India (Tier 2),"Prevention, Protection, and Prosecution",USDOS/G/TIP,Bhoomika Vihar (Bihar State); Environment and Health Development Center (West Bengal State) through USAID,Preventive Action to Stem (Indo-Bangladesh and Indo-Nepal) Cross-Border Trafficking in Persons,"Bhoomika Vihar will increase anti-trafficking vigilance through the establishment of counseling/information centers at selected sites in vulnerable border districts. This project will be implemented simultaneously in both Bihar and West Bengal in consultation with local NGOs on both sides of the border, police, and with the Border Security Force. The centers will check people crossing the border, support the border security force, sift out trafficking victims, assess the vulnerability of migrant women and provide them with information on trafficking. The project includes sensitizing local government officials, including panchayats (village councils) and the police to anti-trafficking laws. Rescued victims will be provided shelter and legal assistance until they are repatriated or provide testimony in court and are subsequently sent to an after-care facility. This project will cover 35 districts with the highest level of cross-border trafficking – it is modeled on a similar project established by Maiti Nepal.","$20,000"
South Asia,India (Tier 2),"Prevention, Protection, and Prosecution",USDOS/G/TIP,Stree Aadhar Kendra (Maharashtra - Mumbai and Pune) through USAID,Zero Violence Zones,"Stree Aadhar Kendra’s objective is to strengthen community involvement in combating violence against women and trafficking through training 100 police official yearly, train women on their rights, to mobilize the community in the 16 project areas and develop a support system for women affected by violence. This project includes workshops for law enforcement in all 16 areas, distribution of police training procedures and resource materials on trafficking for police constables, counseling and legal aid for victims, and the establishment of an information center. The program coordinator is a member of the Maharashtra State Legislative Assembly.","$60,000"
South Asia,India (Tier 2),"Prevention, Prosecution, and Protection",USDOS/G/TIP,Odanadi Seva Samthe through USAID.,"Rescue, Rehabilitation, Prosecution, and Awareness Anti-Trafficking Program for Karnataka State","This project’s primary objective is to suppress criminal trafficking networks while providing follow-up assistance and support to rescued trafficking victims. Odanadi will launch a massive campaign against trafficking in the form of awareness campaigns, capacity building, increased rescue operations and legal actions filed against the criminals, and rehabilitation and counseling for victims and their families. They will also expand their existing residential rehabilitation center. Odanadi has two plots of land donated by the Government of Karnataka so that victims can generate income and employment.","$85,000"
South Asia,India (Tier 2),Project Management/Capacity Building,USDOS/G/TIP,USAID,Overhead and Project Management for USAID-India Projects,"These funds will be used for project support costs, project evaluation, capacity-building training, and regional coordination efforts for six NGO projects in India (STOP, GTI, Prerana, Bhoomika Vihar, Stree Aadhar Kendra, and Odanadi Seva Samsthe).","$72,118"
South Asia,Nepal (Tier 2),"Prevention, Protection, and Prosecution",USDOS/G/TIP,UNICEF,Fostering a Better Legal Environment for Prevention and Prosecution of Trafficking in Persons,"UNICEF will develop training curriculum for police and district court prosecutors, focusing on appropriate treatment of victims and witnesses such as protecting privacy. They will offer guidance on how to best utilize current laws and procedures to protect victims and effectively prosecute trafficking cases, such as illustrating the value of videotaped testimony and offering training to prosecutors at the district court level. In addition, UNICEF will assist police and the Office of the Attorney General to integrate the new TIP training program into the permanent curriculum. They will provide technical assistance in developing new bilateral or multilateral agreements to prosecute trafficking cases, and in developing new legal procedures to better protect the rights of victims and witnesses.","$280,000 over two years"
South Asia,Nepal (Tier 2),"Protection, Prosecution",USDOS/G/TIP,DOJ/OPDAT,Court Management Assistance on Child Trafficking in Nepal,"DOJ/OPDAT will assist the government of Nepal develop realistic court budgets, set court priorities, instruct judicial officials to better handle child trafficking cases, process cases more efficiently, train officials on professional responsibility and ethics, and develop capacity for formal and informal international legal assistance. OPDAT will also train officials to be more sensitive to victims and witnesses in child trafficking cases. The target audience for this training is criminal and juvenile court judges and court personnel.","$63,957.25"
South Asia,Nepal (Tier 2),"Prevention, Protection","USAID, Bureau for Asia and the Near East",The Asia Foundation,Combating Trafficking of Women and Children,"Ongoing activities are expected to raise awareness among various sectors to combat trafficking, improve capacity of service providers to deal sensitively with survivors and sensitize the judiciary to the need for imposing more stringent sentences to deter traffickers. A new activity focuses on job skills and placement is aimed at providing financial security to the vulnerable groups (including trafficking victims).","$128,210"
South Asia,Pakistan (Tier 2),"Prevention, Protection, and Prosecution",USDOS/G/TIP,IOM,Collection and Compilation of Data on Human Trafficking in Pakistan,"IOM, in partnership with the Government’s Federal Bureau of Statistics, Ministry of Finance, and Ministry of Interior will collect and compile data on the extent of the trafficking problem in Pakistan. Together IOM and the government of Pakistan will quantify the extent of the trafficking problem and provide realistic benchmarks for the government’s anti-trafficking program.","$60,000"
South Asia,Pakistan (Tier 2),"Protection, Prosecution",USDOS/G/TIP,IOM,Implement Anti-Trafficking Legislation,"IOM will conduct training for federal and top provincial authorities on identifying trafficking and implementing trafficking laws, followed by provincial and district level training conducted by trained government officials. This project will also include support materials for police and judiciary on implementation of the trafficking law.","$62,000"
South Asia,Regional,Prevention,"USAID, Bureau for Asia and the Near East",Academy for Educational Development (AED),South Asia Regional Initiative/Equity anti-trafficking,"Promotion of regional action through exchange of ideas, information, programming and advocacy techniques relating to social equity for women and children; strengthening of capacity to implement relevant laws and conventions as another important means to the end of achieving social equity.","$1,950,000"
South Asia,Sri Lanka (Tier 2),"Protection, Prosecution",USDOS/G/TIP,DOJ/OPDAT,Court Management Assistance on Child Trafficking in Sri Lanka,"DOJ/OPDAT will assist the government of Sri Lanka develop realistic court budgets, set court priorities, instruct judicial officials to better handle child trafficking cases, process cases more efficiently, train officials on professional responsibility and ethics, and develop capacity for formal and informal international legal assistance. OPDAT will also train officials to be more sensitive to victims and witnesses in child trafficking cases. The target audience for this training is criminal and juvenile court judges and court personnel.","$77,050"
South Asia,Sri Lanka (Tier 2),"Prevention, Protection, and Prosecution",USDOS/G/TIP,DOJ/ICITAP,Program to Enhance Civil and Police Coordination and Investigation Techniques in Preventing the Trafficking of Children,This program will enhance the coordination capabilities between the civilian investigators and police officers investigating cases of trafficking. Training should focus on the coordination between the civilian and police offices within the National Child Protection Agency (NCPA). This project will also review which resources would be most helpful to the NCPA in its mandate (reviewing items ranging from investigative tools to software for the internal computer system).,"$170,000"
Europe/Eurasia,Albania: Sub-regional (Tier 2),Prosecution,USDOS/INL,DOJ/ICITAP,Sub-regional Anti-Trafficking in Persons Training Program,"The U.S. Embassy will organize and sponsor a series of specialized training programs focused on: fraudulent document identification, border control and management, port security, interviewing victims of trafficking, surveillance techniques, use of informants, small boat handling and maritime interdiction, and developing ad hoc bilateral/sub-regional taskforces to disrupt TIP networks. The programs will be conducted by ICITAP, as a logical extension of the on-going ICITAP “three-ports” program, and include NGOs when appropriate. Training will be conducted at the Albania Anti-Trafficking Center in Vlora. Funds will also be used to supply limited commodities, primarily instructional equipment. Project is intended to build working level partnerships between law enforcement personnel charged with border control and anti-tip programs in Albania, Serbia, Kosovo, Montenegro and Macedonia. This is the first time the Serbs and Albanians have agreed to work cooperatively to combat organized crime. This is also the first major law enforcement initiative originating with the countries themselves. This project supports the initiative of participating countries to institute training and other exchanges of working level officials.","$ 150,000"
Europe/Eurasia,Albania (Tier 2),Prosecution,USDOS/INL,DOJ/OPDAT,RLA Program,"Building Bridges between law enforcement and victim cooperation/protection: workshops that will sensitize police, prosecutors and investigative judges who deal with TIP victims as to their needs and how to gain info from them for successful prosecutions. Workshops will focus on interviewing techniques.","$50,000"
Europe/Eurasia,Albania (Tier 2),Prosecution,USDOS/INL,DOJ/OPDAT & ICITAP,Organized Crime Task Force,"Organized Crime Task Force will expand into the second phase to link prosecution efforts with police and expand training to support the Prosecutor General in drawing up a long-term strategy for training prosecutors. Establish law libraries -- north, south and center. Introduce information technology that links police information network with the prosecutors. The total cost of the project is $1.95million of which 50 percent is directed to anti-trafficking in persons efforts.","$975,000"
Europe/Eurasia,Albania (Tier 2),"Prevention, Protection",USDOS/EUR,,U.S. Embassy Democracy Commission Small Grants Program,"The four small grant projects to NGOs focused primarily on conducting public awareness campaigns through local television stations, monitoring centers, or seminars for local officials and police agencies. Several of the campaigns covered trafficking in both women and children.","$59,015"
Europe/Eurasia,Albania (Tier 2),"Prevention, Protection","USAID, Bureau for Europe and Eurasia",Terre des Hommes,Transnational Action Against Child Trafficking,"Three-year comprehensive program addressing the problem of trafficking of children from Albania to Greece and Italy. It focuses on five main areas: prevention, protection, assisted voluntary return, reintegration and coordination of anti-trafficking efforts.","$500,000"
Europe/Eurasia,Albania (Tier 2),"Prevention, Protection","USAID, Bureau for Economic Growth, Agriculture and Trade, Office of Women in Development",Terre des Hommes,Transnational Action Against Child Trafficking,"Three year comprehensive program addressing the problem of trafficking of children from Albania to Greece and Italy. It focuses on five main areas: prevention, protection, assisted voluntary return, reintegration and coordination of anti-trafficking efforts.","$300,000"
Europe/Eurasia,Albania (Tier 2),"Prevention, Protection","USAID, Bureau for Europe and Eurasia",Creative Associates,Albania Anti-Trafficking Umbrella Grant,"Focusing on trafficking of women and children, this grant will help coordinate nongovernmental organization and government prevention and reintegration efforts. Subgrants will be awarded to international and local NGOs based in Albania that are working on prevention of trafficking and care, support and reintegration for trafficking victims.","$1,117,000"
Europe/Eurasia,Albania (Tier 2),"Protection, Prosecution","USAID, Bureau for Economic Growth, Agriculture and Trade, Office of Women in Development","Chemonics International, Inc.",Women's Legal Rights Initiative,This activity will train judges on the treatment of trafficking cases and will develop a reference book to serve as a procedural manual for use by judges in trafficking cases.,"$500,000"
Europe/Eurasia,Albania,"Prevention, Protection",USDOS/ECA,Meridian International Center,,"This program, designed for prosecutors and other law professionals as well as a representative of the NGO community, introduced participants to the strategies employed and policies designed in the United States to combat human trafficking. The program examined the patterns and types of trafficking found in the U.S. and explored the social, political, and economic factors that contribute to its occurrence. While the project emphasized the role of the government in addressing the problem, the visitors also investigated cooperation between governmental and non-governmental organizations in combating trafficking in the United States.","$95,844"
Europe/Eurasia,Armenia (Tier 2),Prevention,USDOS/ECA,"New York University, Sub-recipient/In-country partner: Cimera",Child Trafficking,"This project will train government officials and journalists on collaborative approaches to combat trafficking in persons in Armenia. The project includes a five-day in-country workshop for approximately 15 journalists and 15 government officials that will include breakout sessions, role playing and information sharing. After the training concludes, American trainers will conduct follow-up site visits and interviews at participants’ workplaces to design action plans. Team reporting projects with the journalism participants will also be designed, published and broadcast in Armenia to increase public awareness on the issue.","$150,000"
Europe/Eurasia,Azerbaijan (Not on TIP Report),Prevention,USDOS/EUR,Clean World Social Union for Civil Rights,U.S. Embassy Democracy Commission Small Grants Program,"Clean World will join two other Azerbaijani NGOs, The Republican Union for the Children’s Union of Azerbaijan and the Social Union Youth Without Conflict, to complete this project for a public awareness campaign and training to individuals capable of changing public perceptions on TIP: NGO leaders, media representatives, leaders of children’s and youth groups and teachers.","$22,684"
Europe/Eurasia,Azerbaijan (Not on TIP Report),Prevention,USDOS/ECA,International Center for Journalists; Sub-recipient/In-country partner: Baku Press Club,Anti-Trafficking Media Outreach in Azerbaijan,"This project will support a media training program designed to help combat trafficking in persons in Azerbaijan. Project activities include a four-day workshop for 24 journalists in Baku; consultations by U.S. trainers at media organizations throughout Azerbaijan; and a week-long seminar in Warsaw, Poland, led by American journalists and Polish anti-trafficking experts, for approximately eight Azeri journalists.","$149,619"
Europe/Eurasia,Belarus (Tier 2),Prevention,USDOS/ PRM,IOM,TIP Awareness in Belarus,"This IOM project focuses on building awareness of the trafficking issue, including an education component for young people. The project includes information and training activities, work with local civic organizations, and programs to sensitize law enforcement to the trafficking problem. Reintegration support for returning victims will also be available.","$ 230,000"
Europe/Eurasia,Belarus (Tier 2),Prevention,USDOS/ECA,Internews,Anti-Trafficking Media Outreach Campaign in Belarus,"This project will provide training to broadcast media professionals from Belarus for implementing public service programming that will educate the public about the growing problem of human trafficking. Activities will include a multi-component training program in Belarus for 16 members of the editorial and technical staff of broadcast media outlets, and a U.S.-based training program for four Belarusian journalists in Washington, D.C.","$136,929"
Europe/Eurasia,Belarus (Tier 2),Prevention,"USAID, Bureau for Economic Growth, Agriculture and Trade, Office of Women in Development",Winrock International,Women's Economic Empowerment,This program replicates in Belarus the economic empowerment approach to trafficking prevention already used by Winrock in Ukraine.,"$100,000"
Europe/Eurasia,Bosnia-Herzegovina (Tier 2),"Prevention, Protection",USDOS/EUR,,U.S. Embassy Democracy Commission Small Grants Program,"The Criminology Faculty will conduct and publish research on the methods of trafficking, rehabilitation of victims, and social and legal aspects of trafficking. La Strada will organize roundtables and sessions for journalists and judges to initiate discussions on a harmonized approach to victims of trafficking and protection of human rights.","$36,118"
Europe/Eurasia,Bulgaria (Tier 2),Prosecution,USDOS/INL,DOJ/OPDAT,Resident Legal Advisor Program,"Part of RLA Program: Training on new TIP legislation, advisory technical assistance on refinements to anti-TIP legislation, task force development and case management skills development.","$60,000"
Europe/Eurasia,Bulgaria (Tier 2),"Prevention, Protection",USDOS/PRM,IOM,Prevention and Victim Assistance,"This project supports victim assistance and shelters. It also funds public information activities to prevent and combat trafficking, including activities focused at the local level. Partnership with local civil society is an important component of the project.","$275,000"
Europe/Eurasia,Bulgaria (Tier 2),Prevention,USDOS/ EUR,The Center Maria NGO,U.S. Embassy Democracy Commission Small Grants Program,"The project focuses on decreasing trafficking in persons in Central North Bulgaria through rendering information and support to risk groups in rural areas. Activities include establishing of a hotline, free legal and psychological consultation for victims of trafficking, an information campaign, training activities in eight schools in the region, prevention work with clients of labor bureaus, prevention work with parents of children at risk, and working with responsible institutions to decrease the number of trafficked women.","$16,000"
Europe/Eurasia,Bulgaria (Tier 2),"Prevention, Protection","USAID, Bureau for Europe and Eurasia",International Organization for Migration,Implementation of the Combating Trafficking in Human Beings Act,"Facilitates the implementation of the new Combating Trafficking in Human Beings Act in Bulgaria by mobilizing and enhancing institutional capacities at the national level, and by establishing a national partnership network to model inter-agency cooperation at central and local levels to combat trafficking in human beings in Bulgaria. Activities will include training, transfer and exchange of know-how and networking activities in the area of counter-trafficking at national and local levels.","$145,694"
Europe/Eurasia,Croatia (Tier 2),"Prevention, Protection",USDOS/EUR,"Association of Citizens, Step Women's Group Karlovac",U.S. Embassy Democracy Commission Small Grants Program,"In Split, special training for police forces, including border police; regional coordination/sharing of information on organized crime, trafficking routes; and establishment of a counter-trafficking unit with regional offices. In Karlova, preventative workshops for high school populations and how to avoid becoming a trafficking victim. USAID is helping to raise awareness and to educate the public, media, law enforcement officials and policy-makers about the problems related to TIP.","$159,410 ($39,410 DOS; $120,000 USAID)"
Europe/Eurasia,Croatia (Tier 2),Prevention,"USAID, Bureau for Europe and Eurasia",International Organization for Migration,High School Preventive Education on Trafficking in Human Beings,"Develops and disseminates a preventive educational module through which high school students, their teachers, parents, friends and communities will be provided with accurate information on trafficking in human beings and the threat it poses to young people in Croatia.","$120,000"
Europe/Eurasia,Croatia (Tier 2),"Prevention, Protection","USAID, Bureau for Europe and Eurasia",Netgen,Technical Assistance Information Technology to the Government Office for Human Rights' National Committee for Combating Trafficking in Persons,Provides IT and database services for Croatia's National Committee for Suppression of Trafficking in Persons.,"$20,124"
Europe/Eurasia,Croatia,"Prevention, Protection",USDOS/ECA,Meridian International Center,,"This project focused on the development of policies and enforcement programs to combat the trafficking of persons internationally and within the U.S. The mixed delegation of prosecutors and police officers were especially interested in cooperation and information sharing strategies between prosecutors and police investigators which led to indictments of human trafficking perpetrators. Border control and security methods, victim assistance programs, hotline and shelter models, and approaches to combating domestic violence and sexual assault, particularly in small communities, were also addressed.","$45,000"
Europe/Eurasia,Czech Republic (Tier 1),Prevention,DOS/EUR,La Strada,U.S. Embassy Democracy Commission Small Grants Program,The grant funded the development of a countrywide network of co-partners and the creation of regional situation reports to strengthen NGO capacity to more effectively monitor and prevent trafficking in persons.,"$7,853"
Europe/Eurasia,Czech Republic (Tier 1),"Prevention, Protection",DOS/ECA,AED,"International Visitor Program: Novakova, Marketa",The grant funded one year of International Visitor Programs.,"$15,000"
Europe/Eurasia,Estonia (Tier 2),Prevention,USDOS/EUR,Tartu Child Support Center,U.S. Embassy Democracy Commission Small Grants Program,"The center organized training seminars and held lectures on human trafficking issues for 9th grade students, teachers and school administrations in 22 schools of Tartu and its vicinity.","$11,780"
Europe/Eurasia,Estonia (Tier 2),"Prevention, Protection",USDOS/ECA,Meridian,International Visitor Programs,Funding for one year of International Visitor Program funding specifically aimed at anti-woman and children trafficking.,"$30,000"
Europe/Eurasia,Estonia (Tier 2),Prevention,USDOS/EUR,Embassy,U.S. Embassy Democracy Commission Small Grants Program,"Estonian Women’s Studies and Resource Center, “Combating Trafficking in Women;” The aim of the project is to raise awareness of Estonians about prostitution and trafficking in women, about their causes and consequences by using media outlets and holding roundtable discussions for people who come into contact with potential trafficking victims.","$24,500"
Europe/Eurasia,Estonia (Tier 2),Prevention,USDOS/EUR,Embassy,U.S. Embassy Democracy Commission Small Grants Program,"Cross Border Travel- Helsinki Anti-Trafficking Conference June 1-4 2003, 11 officials from NGOs participated.","$6,973"
Europe/Eurasia,Estonia (Tier 2),Prevention,USDOS/EUR,IOM,U.S. Embassy Democracy Commission Small Grants Program,Research and information on Trafficking in Persons in Estonia. Project partners are representatives from six government agencies.,"$60,814"
Europe/Eurasia,Latvia (Tier 2),"Prevention, Protection",USDOS/EUR,Meridian,International Visitor Program,Program specifically aimed at raising awareness of trafficking in women and children.,"$30,000"
Europe/Eurasia,Latvia (Tier 2),Prevention,USDOS/EUR,Embassy,U.S. Embassy Democracy Commission Small Grants Program,Participation of 6 Latvian officials in Helsinki conference June 2003.,"$4,712"
Europe/Eurasia,Latvia (Tier 2),Prevention,USDOS/EUR,Embassy,U.S. Embassy Democracy Commission Small Grants Program,Education of youth about trafficking problems through showing of the film “Lilya 4-Ever”.,"$10,500"
Europe/Eurasia,Lithuania (Tier 1),Prevention,USDOS/ECA,Meridian,International Visitor Program,One-year program aimed at anti-trafficking education.,"$15,000"
Europe/Eurasia,Georgia (Tier 2),Prevention,USDOS/ECA,International Center for Journalists,Anti-Trafficking Media Outreach in Georgia,"This project supports training for journalists in the Republic of Georgia to effectively report on the issue of trafficking in persons. Project activities include a four-day workshop in Georgia for 24 journalists; consultations by U.S. trainers at media organizations in Georgia; and a one-week seminar for twelve Georgian journalists in Warsaw, Poland, conducted by American and Polish professionals who actively combat and report on human trafficking.","$144,468"
Europe/Eurasia,Georgia (Tier 2),,"USAID, Bureau for Europe and Eurasia",Management Systems International,"Trafficking in Persons Georgia: Appraisal, Inventory and Proposed Activities","The assessment will document the nature and scope of trafficking in persons in Georgia, detail an inventory of activities underway to address the problem, and provide recommendations for future USAID anti-trafficking activities.","$75,000"
Europe/Eurasia,Hungary (Tier 2),"Prevention, Protection",USDOS/G/TIP,IOM/Hungary Ministry of Interior,Government and NGO Training to Prevent and Respond to Trafficking in Persons,"Joint activities of the IOM, Hungarian Government and NGOs on the prevention and countering of TIP, 2003, which includes training and awareness on public admin level for MOI and other relevant ministries.","$240,027"
Europe/Eurasia,Hungary (Tier 2),"Prevention, Protection",USDOS/G/TIP,IOM,NGO Capacity Building to Respond to Trafficking in Persons,"This project will enhance the technical cooperation and expertise among personnel of foundations, churches, minority organizations, foster homes, child protection facilities to partner in their efforts to combat human trafficking and assist returned victims.","$104,930"
Europe/Eurasia,Hungary (Tier 2),Prevention,USDOS/G/TIP,IOM,Migration Information Center for the Prevention of Trafficking in Persons,"This project will establish a walk-in migration center focused on dissemination of information on counter-trafficking and illegal migration, in coordination with various Consular Affairs sections accredited in Hungary, relevant Hungarian Ministries and the Budapest Mayor’s Office. The Center will also address employment, migration and residence options; improve administrative effectiveness for programs; and establish an overall mechanism among Hungarian Government authorities, consular departments and NGO offices to increase their awareness, strengthen their capacities and foster cooperation.","$200,675"
Europe/Eurasia,Kazakhstan (Tier 2),"Prevention, Protection",USDOS/PRM,IOM,Prevention and Victim Assistance,"This is an awareness-raising project to increase public understanding of the trafficking phenomenon. It also includes a victim assistance component, and training for civil society and governmental authorities working on trafficking issues.","$230,000"
